Nombre,URL,Categoría,Región,Activa,Contenedor Lista,Selector Link,Selector Contenido,Selector Ignorar
El Mercurio (Emol),https://www.emol.com,,Nacional,,.cont_378_e_2015,"#ucHomePage_cuNoticiasCentral_contTitular a[href*=""/noticias/""], div[id^=""ucHomePage_cuNoticiasCentral_repNoticiasCentral_cajaSec_""]:not([style*=""display: none""]) a[href*=""/noticias/""]",#cuDetalle_cuTexto_textoNoticia,"div[id^=""contRelacionadas_""], article.cont_nota_relacionada, .cont_items_detalle_50, .cont_contador_comentarios"
La Cuarta,https://www.lacuarta.com,,Nacional,,.low-impact-chain__child-main,.story-card a.story-card__image-anchor[href],.article-right-rail__body,"div.article-body__byline, figure.article-body__figure, section.article-body__tags, div.high-impact-chain, div.title-block, div.story-card, script"
La Nación,https://www.lanacion.cl,,Nacional,,.td_block_inner,h2.entry-title a[href],.tdb_single_content,"script, iframe, style"
24horas.cl (TVN),https://www.24horas.cl,,Nacional,,.row,"div.box-dest .cont-txt > a[href^=""/""]",.CUERPO,"div.banner-full, div.prontus-card-container, div.waiting.ad-24h-slot, script, iframe, style"
Meganoticias.cl (Mega),https://www.meganoticias.cl,,Nacional,,.notasDestacadas,"article > a[href^=""https://www.meganoticias.cl/""]",.contenido-nota,"#vimofyPlayer, .slots-on-paragraph, .section-dfp, .slotAds, .relacionados, script, iframe, style"
Chilevisión.cl (CHV),https://www.chilevision.cl,,Nacional,,.the-box,"a.the-card__permalink[href], a.lateral-card__permalink[href]",.main-single__text,"div.u-the-banner, div.rtb_slot, div.ad-skeleton, div.related-card, div.main-single__buttons, script, iframe, style"
T13.cl (Canal 13),https://www.t13.cl,,Nacional,,.content,"a.card[href^=""/noticia/""]",.cuerpo-content,".ads13, #article-inread-desktop, .cuerpo-share, .cuerpo-share-mini, a.leetambien, .articulo-categorias, script, iframe, style"
Radio Bío-Bío,https://www.biobiochile.cl,,Nacional,,.gt-highlights,"h2.article-title a[href^=""https://www.biobiochile.cl/""], section.section-gran-titular > a[href^=""https://www.biobiochile.cl/""]",,"div.container-redes-contenido, div[id^=""slot_""], div.ad, div.bbcl-app, div.lee-tambien-bbcl, iframe, script, style"
Radio Cooperativa,https://www.cooperativa.cl,,Nacional,,.columna-izquierda,"article#modulo-noticia-7 a[href^=""/noticias/""]",#contenedor-leermas,".publicidad_dfp, .coop_blockSlot, .modulo-lee, script, iframe, style"
ADN Radio,https://www.adnradio.cl,,Nacional,,.s-s,"article.sc h3 a[href^=""/""]",.cnt-txt,"section.c-sum, figure, picture, img, script, iframe, style"
Bloomberg Línea Chile,https://www.bloomberglinea.com/latinoamerica/chile/,,Nacional,,.grid-cols-14,.promo-image a[href^="/"],.article-body-wrapper-bl,"p.view-more-paragraph, .hide-container, [id^=""arcad-feature-""], .arcad-container, script, iframe, style"
Chócale,https://chocale.cl,,Nacional,,.cs-posts-area__main,.cs-entry__title a[href^="https://chocale.cl/"],.entry-content,"div.cnvs-block-alert, div.choca-contenido, div[id^=""gpt-ad-""], figure, .datawrapper-script-embed, datawrapper-visualization, .pk-share-buttons-wrap, .cs-entry__tags, script, iframe, style"
Red Gol,https://www.redgol.cl,Deporte,Nacional,,,"a[href^=""https://redgol.cl/""]",,"script, iframe, style"
AS Chile,https://chile.as.com,,Nacional,,"div[data-tb-region^=""portada_ch_home_super_apertura""]","a[href^=""https://chile.as.com/""]:not([href*=""/resultados/""]):not([href*=""/videos/""])",.a_c,"div.ad-intext, div.raw_html, section.a_rel, script, iframe, style"
Al Aire Libre,https://www.alairelibre.cl,Deporte,Nacional,,,.card[href^="https://www.alairelibre.cl/"],.article-body,"div.related-container, div.related-news-block, div.arena-comments-widget, comments-web-component, script, iframe, style"
Prensa Fútbol,https://www.prensafutbol.cl,Deporte,Nacional,,.wp-block-post-template,.wp-block-post-title a[href^="https://www.prensafutbol.cl/"],.wp-block-post-content,"div.fixed-bottom, [id^=""div-gpt-ad-""], script, iframe, .taxonomy-post_tag, h3#te-podria-interesar, figure.wp-block-embed, figure.wp-block-image, .related-posts-navigation"
CIPER Chile,https://www.ciperchile.cl,,Nacional,,.pl-lg-0,"h2.article-featured-text__title a.alticle-link[href^=""https://www.ciperchile.cl/""]",.col-lg-9,"img, .wp-caption, hr, script, iframe, style"
El Mostrador,https://www.elmostrador.cl,,Nacional,,.d-main-section__group,.d-main-card__permalink[href^="https://www.elmostrador.cl/"],.d-the-single-wrapper__text,"hr, img, .responsive-container, form[action*=""list-manage.com""], script, iframe, style"
Interferencia,https://interferencia.cl,,Nacional,,.view-content,"div.views-field-title a[href^=""/articulos/""]",.field-name-field-body,"div.field-name-field-share, iframe, script, div.row, img, style"
El Desconcierto,https://www.eldesconcierto.cl,,Nacional,,.news-article-wrapper,.news-article--simple-news[href^="https://eldesconcierto.cl/"],.article-body,"div[id^=""google_ads_iframe_""], .banner, .share-buttons, section.newsletter-subscription, figure.embed_cont, script, iframe, style"
Ministerio de Ciencia,https://www.minciencia.gob.cl,,Nacional,,.section-body,"a[href^=""/noticias/""]",.offset-lg-1,"div.share-links, ul, img, svg, script, iframe, style"
SoyArica.cl,https://www.soychile.cl/arica/,,Arica y Parinacota,,section,"a[href^=""/""][href*=""/202""]",#textoDetalle,"script, iframe, style"
Arica al Día,https://www.aricaldia.cl,,Arica y Parinacota,,.td_block_inner,"a[rel=""bookmark""][href^=""https://www.aricaldia.cl/""]",.tdb-block-inner,"div.code-block, script, iframe, h3.coments-title, p.commentcount, .fb-comments, fb\:comments-count, #300x250-A, #300x250-B, #Inread"
El Morro de Arica,https://elmorrodearica.cl,,Arica y Parinacota,,.blog-content-inner,.post-outer h2.post-title a.post-title-link,.single-entry,"#jp-relatedposts, form, input, textarea, button, script, style, aside.hidden, .akismet-fields-container"
Arica365,https://www.arica365.cl,,Arica y Parinacota,,.block-list,a.p-url,.entry-content,".pdfprnt-buttons, .related-sec, script, iframe, style"
